t,bridge_q,tip_y,pan_y,pan_pitch,hinge_drift,pipes_inside,pipes_crossed,gate_q,bridge_prop_angle,rack_hand_work,bridge_hand_work,plastic_work,penetration,plastic_front,ke,pe
0.00277777777778,-4.93714014738e-06,0.599900901318,2.40002346039,2.65409926214e-06,7.64428114053e-06,0,0,0,0.0166674368083,0,0,0,0,0,1.90380870576,705562.058412
0.0138888888889,-7.43695782148e-05,0.598512709141,2.400370121,3.85711064155e-06,1.692981823e-05,0,0,0,0.0166674368083,0,0,0,0,0,47.5442228123,705508.579661
0.025,-0.000223165130592,0.595537006855,2.40111446381,3.85711064155e-06,7.62939453125e-06,0,0,0,0.0166674368083,0,0,0,0,0,154.047345255,705394.028029
0.0361111111111,-0.000451319559943,0.59097391367,2.40225505829,3.85711064155e-06,7.62939453125e-06,0,0,0,0.0166674368083,0,0,0,0,0,321.420842052,705218.342412
0.0472222222222,-0.00075883284444,0.584823668003,2.40379238129,3.85711064155e-06,8.74788293004e-06,0,0,0,0.0166674368083,0,0,0,0,0,549.678875458,704981.565553
0.0583333333333,-0.00102565239649,0.579487681389,2.40512537956,5.61235810892e-06,1.57474751177e-05,0,0,0,0.0166674368083,0,0,0,0,0,10.6321444602,704774.929337
0.0694444444444,-0.00102565239649,0.579487860203,2.40512633324,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,15.1231439277,704770.333308
0.0805555555556,-0.00102565239649,0.579487860203,2.40512728691,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,20.3343906493,704765.028714
0.0916666666667,-0.00102565239649,0.579487860203,2.40512824059,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,26.3895138285,704758.900831
0.102777777778,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,33.1694423852,704752.024505
0.113888888889,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,40.7820988668,704744.315535
0.125,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,49.123231178,704735.895544
0.136111111111,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,58.3383128603,704726.577421
0.147222222222,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,68.2148949092,704716.62312
0.158333333333,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,78.9231210382,704705.808109
