t,bridge_q,tip_y,pan_y,pan_pitch,hinge_drift,pipes_inside,pipes_crossed,gate_q,bridge_prop_angle,rack_hand_work,bridge_hand_work,plastic_work,penetration,plastic_front,ke,pe
0.00277777777778,-4.93714014738e-06,0.599900901318,2.40002346039,2.65409926214e-06,7.64428114053e-06,0,0,0,0.0166674368083,0,0,0,0,0,1.87984552895,151840.730507
0.0138888888889,-7.43695782148e-05,0.598512709141,2.400370121,3.85711064155e-06,1.692981823e-05,0,0,0,0.0166674368083,0,0,0,0,0,46.9497622509,151788.011426
0.025,-0.000223165130592,0.595537006855,2.40111446381,3.85711064155e-06,7.62939453125e-06,0,0,0,0.0166674368083,0,0,0,0,0,152.11773716,151674.881836
0.0361111111111,-0.000451319559943,0.59097391367,2.40225505829,3.85711064155e-06,7.62939453125e-06,0,0,0,0.0166674368083,0,0,0,0,0,317.383086347,151501.420968
0.0472222222222,-0.00075883284444,0.584823668003,2.40379238129,3.85711064155e-06,8.74788293004e-06,0,0,0,0.0166674368083,0,0,0,0,0,542.746696431,151267.637884
0.0583333333333,-0.00102565239649,0.579487681389,2.40512537956,5.61235810892e-06,1.57474751177e-05,0,0,0,0.0166674368083,0,0,0,0,0,0.000792673197503,151064.781309
0.0694444444444,-0.00102565239649,0.579487860203,2.40512633324,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,6.03444479537e-05,151064.808791
0.0805555555556,-0.00102565239649,0.579487860203,2.40512728691,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.64275664986e-05,151064.818146
0.0916666666667,-0.00102565239649,0.579487860203,2.40512824059,4.43056342192e-06,1.57572849275e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63590587113e-05,151064.827502
0.102777777778,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63603200756e-05,151064.836857
0.113888888889,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63601991172e-05,151064.836857
0.125,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63607739729e-05,151064.836857
0.136111111111,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63620098212e-05,151064.836857
0.147222222222,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63612788626e-05,151064.836857
0.158333333333,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63615068891e-05,151064.836857
0.169444444444,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.63621700008e-05,151064.836857
0.180555555556,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.1551352279e-05,151064.836857
0.191666666667,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15417620114e-05,151064.836857
0.202777777778,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15407817891e-05,151064.836857
0.213888888889,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15398093211e-05,151064.836857
0.225,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15404812645e-05,151064.836857
0.236111111111,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.1539325493e-05,151064.836857
0.247222222222,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15396771281e-05,151064.836857
0.258333333333,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15384282599e-05,151064.836857
0.269444444444,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15388945146e-05,151064.836857
0.280555555556,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15375549271e-05,151064.836857
0.291666666667,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15385216708e-05,151064.836857
0.302777777778,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15378519683e-05,151064.836857
0.313888888889,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15367596468e-05,151064.836857
0.325,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15364703011e-05,151064.836857
0.336111111111,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15366170145e-05,151064.836857
0.347222222222,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.1536760708e-05,151064.836857
0.358333333333,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.1535732328e-05,151064.836857
0.369444444444,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15361688087e-05,151064.836857
0.380555555556,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15316804548e-05,151064.836857
0.391666666667,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15316669714e-05,151064.836857
0.402777777778,-0.00102565239649,0.579487860203,2.40512919426,4.43056342192e-06,1.57861195476e-05,0,0,0,0.0166674368083,0,0,0,0,0,5.15313822207e-05,151064.836857
